40,30,32,28,30,30,28,32,26,26,28,28,32,26,28,28,28,28,30
30,40,32,35,40,32,26,32,28,26,28,26,28,30,28,26,30,28,40
30,32,40,28,32,32,28,30,26,26,28,26,30,34,28,26,30,28,32
28,36,28,40,36,28,28,30,30,28,26,26,30,28,30,26,30,30,36
30,40,32,35,40,32,26,32,28,26,28,26,28,30,28,26,30,28,40
30,32,32,28,32,40,26,28,30,26,30,28,28,28,32,28,28,28,32
28,26,30,28,26,26,40,28,28,30,28,28,25,30,28,28,32,36,26
32,32,30,30,32,28,28,40,28,30,30,26,30,26,28,26,26,26,32
26,28,28,28,28,30,30,28,40,28,28,31,32,32,30,31,28,32,28
26,26,28,28,26,26,30,30,28,40,28,28,32,26,26,28,26,28,26
29,26,28,26,26,28,28,30,30,30,40,28,34,28,30,28,30,28,26
28,26,26,26,26,28,28,26,32,28,28,40,26,29,28,40,30,30,26
30,30,32,30,30,30,26,30,32,32,34,26,40,28,30,26,28,28,30
26,30,34,27,30,28,29,26,32,26,30,30,28,40,30,30,32,29,30
28,28,28,30,28,30,28,28,30,28,30,28,30,30,40,28,30,32,28
28,26,26,26,26,28,28,26,32,28,28,40,26,29,28,40,30,30,26
28,30,30,32,30,28,31,28,28,26,30,30,28,32,30,30,40,35,30
28,28,30,30,28,30,36,26,32,28,28,30,26,30,32,30,36,40,28
30,40,32,35,40,32,26,32,28,26,28,26,28,30,28,26,30,28,40